trial_id,enrollment_speaker_id,enrollment_audio_id,test_speaker_id,test_audio_id,trial_type,same_speaker,same_gender,label,trial_class,xvector_cosine_score
trial_000028,F_13,CMPL_F_13_11ANG_00086,F_22,CMPL_F_22_06ALX_00002,impostor,False,True,0,impostor,0.9263647794723511
trial_000029,M_07,CMPL_M_07_01MAB_00315,M_07,CMPL_M_07_01ANG_00024,genuine,True,True,1,genuine,0.9314318299293518
trial_000030,F_03,CMPL_F_03_09MAB_00142,F_03,CMPL_F_03_09MAB_00339,genuine,True,True,1,genuine,0.972715437412262
trial_000031,M_25,CMPL_M_25_06ANG_00125,M_29,CMPL_M_29_12ALX_00104,impostor,False,True,0,impostor,0.8875873684883118
trial_000032,F_16,CMPL_F_16_03MAB_00082,F_26,CMPL_F_26_14MAB_00021,impostor,False,True,0,impostor,0.9337870478630066
trial_000033,M_16,CMPL_M_16_03ALX_00105,M_16,CMPL_M_16_03ALX_00094,genuine,True,True,1,genuine,0.9632395505905151
trial_000034,M_16,CMPL_M_16_03ALX_00105,M_16,CMPL_M_16_03ALX_00152,genuine,True,True,1,genuine,0.9459285736083984
trial_000035,M_51,CMPL_M_51_14ALX_00006,M_01,CMPL_M_01_04ANG_00492,impostor,False,True,0,impostor,0.9034276604652405
trial_000036,F_03,CMPL_F_03_09MAB_00142,F_03,CMPL_F_03_09MAB_00025,genuine,True,True,1,genuine,0.9491531848907471
trial_000037,F_21,CMPL_F_21_13ANG_00011,F_03,CMPL_F_03_09MAB_00247,impostor,False,True,0,impostor,0.9258356094360352
trial_000038,M_23,CMPL_M_23_01ALX_00103,M_23,CMPL_M_23_01ALX_00119,genuine,True,True,1,genuine,0.9716585874557495
trial_000039,F_07,CMPL_F_07_04ALX_00020,F_07,CMPL_F_07_04ALX_00010,genuine,True,True,1,genuine,0.9539623856544495
trial_000040,M_02,CMPL_M_02_03ANG_00022,M_02,CMPL_M_02_04ANG_00340,genuine,True,True,1,genuine,0.9144320487976074
trial_000041,M_13,CMPL_M_13_12MAB_00080,M_28,CMPL_M_28_12ANG_00084,impostor,False,True,0,impostor,0.7678295373916626
trial_000042,F_06,CMPL_F_06_13MAB_00049,F_06,CMPL_F_06_13MAB_00073,genuine,True,True,1,genuine,0.9701123237609863
trial_000043,M_30,CMPL_M_30_10ALX_00103,M_30,CMPL_M_30_08ANG_00065,genuine,True,True,1,genuine,0.9335113763809204
trial_000044,M_30,CMPL_M_30_10ALX_00103,M_07,CMPL_M_07_07MAB_00406,impostor,False,True,0,impostor,0.874214768409729
trial_000045,M_03,CMPL_M_03_08MAB_00709,M_03,CMPL_M_03_07MAB_00533,genuine,True,True,1,genuine,0.9300966262817383
trial_000046,M_01,CMPL_M_01_13ANG_01532,M_01,CMPL_M_01_04ANG_00805,genuine,True,True,1,genuine,0.9352660179138184
trial_000047,F_02,CMPL_F_02_02MAB_00241,F_27,CMPL_F_27_03ANG_00014,impostor,False,True,0,impostor,0.9377739429473877
trial_000048,F_13,CMPL_F_13_11ANG_00086,F_19,CMPL_F_19_08CAR_00071,impostor,False,True,0,impostor,0.8785731792449951
trial_000049,M_01,CMPL_M_01_13ANG_01532,M_01,CMPL_M_01_14ALX_01696,genuine,True,True,1,genuine,0.9092185497283936
trial_000050,F_01,CMPL_F_01_12MAB_00651,F_01,CMPL_F_01_13ALX_00745,genuine,True,True,1,genuine,0.950042724609375
trial_000051,F_02,CMPL_F_02_02MAB_00241,F_02,CMPL_F_02_02MAB_00336,genuine,True,True,1,genuine,0.9560980796813965
trial_000052,F_04,CMPL_F_04_12ANG_00215,F_04,CMPL_F_04_12ANG_00255,genuine,True,True,1,genuine,0.9534183740615845
trial_000053,F_20,CMPL_F_20_05CAR_00066,F_02,CMPL_F_02_02MAB_00267,impostor,False,True,0,impostor,0.9266446232795715
trial_000054,M_48,CMPL_M_48_05ANG_00003,M_48,CMPL_M_48_07ALX_00024,genuine,True,True,1,genuine,0.9322115182876587
trial_000055,F_18,CMPL_F_18_06MAB_00027,F_18,CMPL_F_18_06MAB_00045,genuine,True,True,1,genuine,0.9603877663612366
trial_000056,M_52,CMPL_M_52_13ALX_00005,M_01,CMPL_M_01_13ANG_01475,impostor,False,True,0,impostor,0.9203463196754456
trial_000057,M_05,CMPL_M_05_05ANG_00380,M_05,CMPL_M_05_05ANG_00448,genuine,True,True,1,genuine,0.9169065952301025
trial_000058,F_04,CMPL_F_04_12ANG_00215,F_04,CMPL_F_04_12ANG_00156,genuine,True,True,1,genuine,0.9266862273216248
trial_000059,M_24,CMPL_M_24_07ANG_00018,M_06,CMPL_M_06_11ANG_00010,impostor,False,True,0,impostor,0.8870018720626831
trial_000060,M_31,CMPL_M_31_11MAB_00120,M_31,CMPL_M_31_11MAB_00122,genuine,True,True,1,genuine,0.9799182415008545
trial_000061,M_22,CMPL_M_22_15ALX_00121,M_12,CMPL_M_12_10ALX_00243,impostor,False,True,0,impostor,0.9234222173690796
trial_000062,M_16,CMPL_M_16_03ALX_00105,M_04,CMPL_M_04_02ANG_00431,impostor,False,True,0,impostor,0.8997546434402466
trial_000063,F_10,CMPL_F_10_13ALX_00070,F_10,CMPL_F_10_13ALX_00037,genuine,True,True,1,genuine,0.9653103351593018
trial_000064,M_17,CMPL_M_17_07ANG_00057,M_17,CMPL_M_17_10MAB_00212,genuine,True,True,1,genuine,0.9441505670547485
trial_000065,M_33,CMPL_M_33_09ANG_00068,M_04,CMPL_M_04_02ANG_00405,impostor,False,True,0,impostor,0.8063393235206604
trial_000066,F_04,CMPL_F_04_12ANG_00215,F_07,CMPL_F_07_04ALX_00062,impostor,False,True,0,impostor,0.9130737781524658
trial_000067,M_51,CMPL_M_51_14ALX_00006,M_12,CMPL_M_12_08ANG_00165,impostor,False,True,0,impostor,0.86345374584198
trial_000068,M_28,CMPL_M_28_12ANG_00055,M_28,CMPL_M_28_12ANG_00127,genuine,True,True,1,genuine,0.9627221822738647
trial_000069,M_04,CMPL_M_04_02ANG_00433,M_40,CMPL_M_40_08ANG_00043,impostor,False,True,0,impostor,0.8378793001174927
trial_000070,M_31,CMPL_M_31_11MAB_00120,M_31,CMPL_M_31_11MAB_00106,genuine,True,True,1,genuine,0.9827470779418945
trial_000071,M_41,CMPL_M_41_14MAB_00025,M_14,CMPL_M_14_06ANG_00040,impostor,False,True,0,impostor,0.9032911062240601
trial_000072,F_19,CMPL_F_19_08CAR_00045,F_19,CMPL_F_19_08CAR_00051,genuine,True,True,1,genuine,0.9827812910079956
trial_000073,M_05,CMPL_M_05_05ANG_00380,M_05,CMPL_M_05_05ANG_00474,genuine,True,True,1,genuine,0.9345054626464844
trial_000074,M_40,CMPL_M_40_08ANG_00008,M_22,CMPL_M_22_15ALX_00108,impostor,False,True,0,impostor,0.897609531879425
trial_000075,M_43,CMPL_M_43_14MAB_00025,M_43,CMPL_M_43_14MAB_00055,genuine,True,True,1,genuine,0.9697101712226868
trial_000076,M_22,CMPL_M_22_15ALX_00121,M_17,CMPL_M_17_10MAB_00081,impostor,False,True,0,impostor,0.8779916763305664
trial_000077,M_46,CMPL_M_46_04MAB_00011,M_46,CMPL_M_46_04MAB_00010,genuine,True,True,1,genuine,0.9849589467048645
trial_000078,F_08,CMPL_F_08_10MAB_00093,F_03,CMPL_F_03_09MAB_00232,impostor,False,True,0,impostor,0.9066094756126404
trial_000079,M_47,CMPL_M_47_03ALX_00029,M_15,CMPL_M_15_08ANG_00098,impostor,False,True,0,impostor,0.8278431296348572
trial_000080,M_27,CMPL_M_27_05MAB_00052,M_16,CMPL_M_16_03ALX_00102,impostor,False,True,0,impostor,0.8800567388534546
trial_000081,M_06,CMPL_M_06_11ANG_00272,M_06,CMPL_M_06_11ANG_00017,genuine,True,True,1,genuine,0.9405280947685242
trial_000082,F_05,CMPL_F_05_01CAR_00021,F_05,CMPL_F_05_01CAR_00040,genuine,True,True,1,genuine,0.969356894493103
trial_000083,F_26,CMPL_F_26_14MAB_00029,F_01,CMPL_F_01_13ALX_00786,impostor,False,True,0,impostor,0.9260232448577881
trial_000084,M_44,CMPL_M_44_14MAB_00035,M_18,CMPL_M_18_05ALX_00100,impostor,False,True,0,impostor,0.9179064035415649
trial_000085,M_11,CMPL_M_11_07ANG_00036,M_04,CMPL_M_04_02ALX_00042,impostor,False,True,0,impostor,0.8871917724609375
trial_000086,M_33,CMPL_M_33_09ANG_00068,M_03,CMPL_M_03_01ANG_00127,impostor,False,True,0,impostor,0.8204889297485352
trial_000087,M_32,CMPL_M_32_03MAB_00021,M_13,CMPL_M_13_12MAB_00280,impostor,False,True,0,impostor,0.8033982515335083
trial_000088,M_11,CMPL_M_11_07ANG_00036,M_02,CMPL_M_02_10ANG_00630,impostor,False,True,0,impostor,0.8860679864883423
trial_000089,M_06,CMPL_M_06_11ANG_00272,M_06,CMPL_M_06_11ANG_00383,genuine,True,True,1,genuine,0.9418109655380249
trial_000090,F_33,CMPL_F_33_06ANG_00018,F_07,CMPL_F_07_04ALX_00002,impostor,False,True,0,impostor,0.9074703454971313
trial_000091,M_03,CMPL_M_03_08MAB_00709,M_03,CMPL_M_03_07MAB_00555,genuine,True,True,1,genuine,0.9277819395065308
trial_000092,M_26,CMPL_M_26_03ALX_00015,M_18,CMPL_M_18_05ALX_00132,impostor,False,True,0,impostor,0.8932021856307983
trial_000093,M_03,CMPL_M_03_08MAB_00709,M_03,CMPL_M_03_01ANG_00075,genuine,True,True,1,genuine,0.9111177921295166
trial_000094,M_13,CMPL_M_13_12MAB_00080,M_13,CMPL_M_13_12MAB_00062,genuine,True,True,1,genuine,0.9574241638183594
trial_000095,F_11,CMPL_F_11_06ANG_00030,F_02,CMPL_F_02_02MAB_00037,impostor,False,True,0,impostor,0.9359580278396606
trial_000096,F_01,CMPL_F_01_12MAB_00651,F_01,CMPL_F_01_14ANG_00898,genuine,True,True,1,genuine,0.9571162462234497
trial_000097,M_19,CMPL_M_19_11ALX_00110,M_19,CMPL_M_19_11ALX_00071,genuine,True,True,1,genuine,0.9636828899383545
trial_000098,M_28,CMPL_M_28_12ANG_00055,M_28,CMPL_M_28_12ANG_00026,genuine,True,True,1,genuine,0.9693053960800171
trial_000099,M_18,CMPL_M_18_05ALX_00058,M_03,CMPL_M_03_01MAB_00349,impostor,False,True,0,impostor,0.9373793601989746
trial_000100,M_03,CMPL_M_03_08MAB_00709,M_03,CMPL_M_03_01ANG_00301,genuine,True,True,1,genuine,0.8934588432312012
trial_000101,M_34,CMPL_M_34_09ALX_00048,M_11,CMPL_M_11_07ANG_00086,impostor,False,True,0,impostor,0.9084733724594116
trial_000102,M_16,CMPL_M_16_03ALX_00105,M_16,CMPL_M_16_03ALX_00029,genuine,True,True,1,genuine,0.9559558033943176
trial_000103,M_35,CMPL_M_35_15ALX_00068,M_07,CMPL_M_07_07MAB_00423,impostor,False,True,0,impostor,0.921421229839325
trial_000104,M_51,CMPL_M_51_14ALX_00006,M_41,CMPL_M_41_14MAB_00045,impostor,False,True,0,impostor,0.9132180213928223
trial_000105,F_21,CMPL_F_21_13ANG_00011,F_03,CMPL_F_03_09MAB_00074,impostor,False,True,0,impostor,0.9441319704055786
trial_000106,M_13,CMPL_M_13_12MAB_00080,M_13,CMPL_M_13_12MAB_00140,genuine,True,True,1,genuine,0.9652568101882935
trial_000107,M_09,CMPL_M_09_09ALX_00358,M_09,CMPL_M_09_08MAB_00284,genuine,True,True,1,genuine,0.9290909767150879
trial_000108,M_02,CMPL_M_02_03ANG_00022,M_02,CMPL_M_02_03ANG_00079,genuine,True,True,1,genuine,0.9602009057998657
trial_000109,M_47,CMPL_M_47_03ALX_00029,M_04,CMPL_M_04_02ALX_00047,impostor,False,True,0,impostor,0.8741862773895264
trial_000110,M_53,CMPL_M_53_05MAB_00004,M_05,CMPL_M_05_05ANG_00087,impostor,False,True,0,impostor,0.8662363290786743
trial_000111,M_23,CMPL_M_23_01ALX_00103,M_08,CMPL_M_08_14ANG_00029,impostor,False,True,0,impostor,0.8541747331619263
trial_000112,M_14,CMPL_M_14_06ANG_00222,M_14,CMPL_M_14_06ANG_00095,genuine,True,True,1,genuine,0.9679708480834961
trial_000113,M_28,CMPL_M_28_12ANG_00055,M_28,CMPL_M_28_12ANG_00129,genuine,True,True,1,genuine,0.964015007019043
trial_000114,F_16,CMPL_F_16_03MAB_00082,F_09,CMPL_F_09_06ANG_00057,impostor,False,True,0,impostor,0.9251693487167358
trial_000115,M_48,CMPL_M_48_05ANG_00003,M_01,CMPL_M_01_13ANG_01520,impostor,False,True,0,impostor,0.9079400897026062
trial_000116,M_07,CMPL_M_07_01MAB_00315,M_07,CMPL_M_07_07MAB_00405,genuine,True,True,1,genuine,0.9559791088104248
trial_000117,M_12,CMPL_M_12_08ANG_00113,M_12,CMPL_M_12_10ALX_00244,genuine,True,True,1,genuine,0.9466309547424316
trial_000118,F_06,CMPL_F_06_13MAB_00049,F_12,CMPL_F_12_06CAR_00076,impostor,False,True,0,impostor,0.8719174265861511
trial_000119,M_13,CMPL_M_13_12MAB_00080,M_13,CMPL_M_13_12MAB_00076,genuine,True,True,1,genuine,0.9575896263122559
trial_000120,M_02,CMPL_M_02_03ANG_00022,M_02,CMPL_M_02_04ANG_00319,genuine,True,True,1,genuine,0.9258356690406799
trial_000121,F_12,CMPL_F_12_06CAR_00056,F_12,CMPL_F_12_06CAR_00091,genuine,True,True,1,genuine,0.9799492359161377
trial_000122,M_48,CMPL_M_48_05ANG_00003,M_48,CMPL_M_48_07ALX_00023,genuine,True,True,1,genuine,0.9268147945404053
trial_000123,F_20,CMPL_F_20_05CAR_00066,F_03,CMPL_F_03_09MAB_00216,impostor,False,True,0,impostor,0.923183023929596
trial_000124,M_15,CMPL_M_15_08ANG_00211,M_15,CMPL_M_15_08ANG_00056,genuine,True,True,1,genuine,0.959037184715271
trial_000125,M_35,CMPL_M_35_15ALX_00068,M_14,CMPL_M_14_06ANG_00089,impostor,False,True,0,impostor,0.8946289420127869
trial_000126,F_08,CMPL_F_08_10MAB_00093,F_01,CMPL_F_01_12MAB_00652,impostor,False,True,0,impostor,0.90450119972229
trial_000127,F_18,CMPL_F_18_06MAB_00027,F_01,CMPL_F_01_08ANG_00204,impostor,False,True,0,impostor,0.9151983261108398
trial_000128,M_25,CMPL_M_25_06ANG_00125,M_01,CMPL_M_01_14ALX_01660,impostor,False,True,0,impostor,0.8886541128158569
trial_000129,M_04,CMPL_M_04_02ANG_00433,M_32,CMPL_M_32_03MAB_00032,impostor,False,True,0,impostor,0.9107931852340698
trial_000130,F_03,CMPL_F_03_09MAB_00142,F_03,CMPL_F_03_09MAB_00204,genuine,True,True,1,genuine,0.9580657482147217
trial_000131,F_32,CMPL_F_32_11ANG_00011,F_18,CMPL_F_18_06MAB_00073,impostor,False,True,0,impostor,0.8974878191947937
trial_000132,M_01,CMPL_M_01_13ANG_01532,M_01,CMPL_M_01_10ANG_00999,genuine,True,True,1,genuine,0.9465757608413696
trial_000133,M_32,CMPL_M_32_03MAB_00021,M_32,CMPL_M_32_03MAB_00085,genuine,True,True,1,genuine,0.9676988124847412
trial_000134,M_04,CMPL_M_04_02ANG_00433,M_04,CMPL_M_04_02ANG_00511,genuine,True,True,1,genuine,0.9361495971679688
trial_000135,M_07,CMPL_M_07_01MAB_00315,M_07,CMPL_M_07_01ANG_00091,genuine,True,True,1,genuine,0.9246445894241333
trial_000136,M_05,CMPL_M_05_05ANG_00380,M_01,CMPL_M_01_14ALX_01623,impostor,False,True,0,impostor,0.873454213142395
trial_000137,M_29,CMPL_M_29_12ALX_00011,M_29,CMPL_M_29_12ALX_00012,genuine,True,True,1,genuine,0.9661680459976196
trial_000138,M_02,CMPL_M_02_03ANG_00022,M_02,CMPL_M_02_04ANG_00487,genuine,True,True,1,genuine,0.9196890592575073
trial_000139,F_11,CMPL_F_11_06ANG_00030,F_03,CMPL_F_03_09MAB_00080,impostor,False,True,0,impostor,0.9017449617385864
trial_000140,M_01,CMPL_M_01_13ANG_01532,M_01,CMPL_M_01_13ANG_01510,genuine,True,True,1,genuine,0.9466553330421448
trial_000141,F_26,CMPL_F_26_14MAB_00029,F_12,CMPL_F_12_06CAR_00064,impostor,False,True,0,impostor,0.9320765137672424
trial_000142,M_31,CMPL_M_31_11MAB_00120,M_31,CMPL_M_31_11MAB_00010,genuine,True,True,1,genuine,0.9235043525695801
trial_000143,M_07,CMPL_M_07_01MAB_00315,M_07,CMPL_M_07_01ANG_00151,genuine,True,True,1,genuine,0.9125314950942993
trial_000144,M_09,CMPL_M_09_09ALX_00358,M_09,CMPL_M_09_02ANG_00192,genuine,True,True,1,genuine,0.9298806190490723
trial_000145,M_32,CMPL_M_32_03MAB_00021,M_04,CMPL_M_04_02ANG_00593,impostor,False,True,0,impostor,0.9168188571929932
trial_000146,M_41,CMPL_M_41_14MAB_00025,M_41,CMPL_M_41_14MAB_00024,genuine,True,True,1,genuine,0.9767162799835205
trial_000147,M_18,CMPL_M_18_05ALX_00058,M_02,CMPL_M_02_13ANG_00884,impostor,False,True,0,impostor,0.9160997867584229
trial_000148,F_06,CMPL_F_06_13MAB_00049,F_06,CMPL_F_06_13MAB_00017,genuine,True,True,1,genuine,0.9605594277381897
trial_000149,M_16,CMPL_M_16_03ALX_00105,M_16,CMPL_M_16_03ALX_00145,genuine,True,True,1,genuine,0.9461222290992737
trial_000150,M_34,CMPL_M_34_09ALX_00048,M_34,CMPL_M_34_09ALX_00092,genuine,True,True,1,genuine,0.9598276019096375
trial_000151,F_03,CMPL_F_03_09MAB_00142,F_03,CMPL_F_03_09MAB_00039,genuine,True,True,1,genuine,0.9652034044265747
trial_000152,M_07,CMPL_M_07_01MAB_00315,M_07,CMPL_M_07_07MAB_00368,genuine,True,True,1,genuine,0.8885089159011841
trial_000153,F_17,CMPL_F_17_08CAR_00071,F_17,CMPL_F_17_08CAR_00013,genuine,True,True,1,genuine,0.9835419654846191
trial_000154,M_36,CMPL_M_36_04MAB_00006,M_04,CMPL_M_04_02ALX_00084,impostor,False,True,0,impostor,0.9159121513366699
trial_000155,F_18,CMPL_F_18_06MAB_00027,F_03,CMPL_F_03_09MAB_00001,impostor,False,True,0,impostor,0.9116840958595276
trial_000156,M_50,CMPL_M_50_14MAB_00026,M_04,CMPL_M_04_02ALX_00030,impostor,False,True,0,impostor,0.9199380874633789
trial_000157,M_07,CMPL_M_07_01MAB_00315,M_07,CMPL_M_07_01ANG_00285,genuine,True,True,1,genuine,0.9334732294082642
trial_000158,M_41,CMPL_M_41_14MAB_00025,M_03,CMPL_M_03_07MAB_00511,impostor,False,True,0,impostor,0.9098143577575684
trial_000159,M_01,CMPL_M_01_13ANG_01532,M_28,CMPL_M_28_12ANG_00121,impostor,False,True,0,impostor,0.8701211214065552
trial_000160,M_23,CMPL_M_23_01ALX_00103,M_03,CMPL_M_03_08MAB_00657,impostor,False,True,0,impostor,0.8980705738067627
trial_000161,M_31,CMPL_M_31_11MAB_00120,M_31,CMPL_M_31_11MAB_00072,genuine,True,True,1,genuine,0.9808661937713623
trial_000162,M_52,CMPL_M_52_13ALX_00005,M_21,CMPL_M_21_11MAB_00132,impostor,False,True,0,impostor,0.8612201809883118
trial_000163,M_04,CMPL_M_04_02ANG_00433,M_04,CMPL_M_04_02ALX_00075,genuine,True,True,1,genuine,0.9278022050857544
trial_000164,M_03,CMPL_M_03_08MAB_00709,M_03,CMPL_M_03_08MAB_00663,genuine,True,True,1,genuine,0.9731558561325073
trial_000165,M_49,CMPL_M_49_07ALX_00007,M_02,CMPL_M_02_03ANG_00202,impostor,False,True,0,impostor,0.9129093289375305
trial_000166,F_05,CMPL_F_05_01CAR_00021,F_25,CMPL_F_25_13ANG_00046,impostor,False,True,0,impostor,0.9090872406959534
trial_000167,M_10,CMPL_M_10_09ANG_00243,M_04,CMPL_M_04_02ALX_00129,impostor,False,True,0,impostor,0.8955115079879761
trial_000168,M_29,CMPL_M_29_12ALX_00011,M_05,CMPL_M_05_05ANG_00183,impostor,False,True,0,impostor,0.8934792280197144
trial_000169,M_01,CMPL_M_01_13ANG_01532,M_01,CMPL_M_01_01ALX_00001,genuine,True,True,1,genuine,0.9242085218429565
trial_000170,M_04,CMPL_M_04_02ANG_00433,M_04,CMPL_M_04_02ALX_00134,genuine,True,True,1,genuine,0.92647385597229
trial_000171,M_45,CMPL_M_45_13MAB_00024,M_45,CMPL_M_45_13MAB_00002,genuine,True,True,1,genuine,0.9564148783683777
trial_000172,M_31,CMPL_M_31_11MAB_00120,M_09,CMPL_M_09_09MAB_00403,impostor,False,True,0,impostor,0.9087761640548706
trial_000173,M_09,CMPL_M_09_09ALX_00358,M_09,CMPL_M_09_09ALX_00336,genuine,True,True,1,genuine,0.9537454843521118
trial_000174,F_19,CMPL_F_19_08CAR_00045,F_19,CMPL_F_19_08CAR_00038,genuine,True,True,1,genuine,0.9839173555374146
trial_000175,M_44,CMPL_M_44_14MAB_00035,M_03,CMPL_M_03_08MAB_00732,impostor,False,True,0,impostor,0.9172533750534058
trial_000176,M_03,CMPL_M_03_08MAB_00709,M_03,CMPL_M_03_08MAB_00760,genuine,True,True,1,genuine,0.9881020188331604
trial_000177,M_02,CMPL_M_02_03ANG_00022,M_02,CMPL_M_02_13ANG_00886,genuine,True,True,1,genuine,0.9141197204589844
trial_000178,M_19,CMPL_M_19_11ALX_00110,M_19,CMPL_M_19_11ALX_00075,genuine,True,True,1,genuine,0.9765300154685974
trial_000179,M_01,CMPL_M_01_13ANG_01532,M_01,CMPL_M_01_14ALX_01588,genuine,True,True,1,genuine,0.901544451713562
trial_000180,F_23,CMPL_F_23_02CAR_00050,F_29,CMPL_F_29_07CAR_00032,impostor,False,True,0,impostor,0.9391018152236938
trial_000181,M_05,CMPL_M_05_05ANG_00380,M_05,CMPL_M_05_05ANG_00517,genuine,True,True,1,genuine,0.9633619785308838
trial_000182,M_42,CMPL_M_42_06ALX_00060,M_42,CMPL_M_42_06ALX_00013,genuine,True,True,1,genuine,0.9272979497909546
trial_000183,M_31,CMPL_M_31_11MAB_00120,M_03,CMPL_M_03_01ANG_00165,impostor,False,True,0,impostor,0.8383549451828003
trial_000184,M_04,CMPL_M_04_02ANG_00433,M_01,CMPL_M_01_14ALX_01727,impostor,False,True,0,impostor,0.8931876420974731
trial_000185,M_12,CMPL_M_12_08ANG_00113,M_07,CMPL_M_07_01ANG_00003,impostor,False,True,0,impostor,0.8840755820274353
trial_000186,M_37,CMPL_M_37_14MAB_00049,M_03,CMPL_M_03_07MAB_00411,impostor,False,True,0,impostor,0.9171417951583862
trial_000187,M_38,CMPL_M_38_05ANG_00009,M_03,CMPL_M_03_08MAB_00689,impostor,False,True,0,impostor,0.8750331401824951
trial_000188,M_11,CMPL_M_11_07ANG_00036,M_11,CMPL_M_11_07ANG_00053,genuine,True,True,1,genuine,0.9650459885597229
trial_000189,M_53,CMPL_M_53_05MAB_00004,M_53,CMPL_M_53_05MAB_00010,genuine,True,True,1,genuine,0.9434599876403809
trial_000190,M_29,CMPL_M_29_12ALX_00011,M_29,CMPL_M_29_12ALX_00107,genuine,True,True,1,genuine,0.9403823018074036
trial_000191,M_44,CMPL_M_44_14MAB_00035,M_44,CMPL_M_44_14MAB_00005,genuine,True,True,1,genuine,0.9685444235801697
trial_000192,M_10,CMPL_M_10_09ANG_00243,M_10,CMPL_M_10_09ANG_00023,genuine,True,True,1,genuine,0.9440274238586426
trial_000193,M_06,CMPL_M_06_11ANG_00272,M_07,CMPL_M_07_01ANG_00171,impostor,False,True,0,impostor,0.8588423728942871
trial_000194,M_38,CMPL_M_38_05ANG_00009,M_38,CMPL_M_38_05ALX_00002,genuine,True,True,1,genuine,0.9338632822036743
