trial_id,enrollment_speaker_id,enrollment_audio_id,enrollment_audio_path,test_speaker_id,test_audio_id,test_audio_path,gender_enrollment,gender_test,trial_type,same_speaker,same_gender,label
trial_000010,M_07,CMPL_M_07_01MAB_00315,CMPL_M_07_01MAB_00315.flac,M_07,CMPL_M_07_01ANG_00226,CMPL_M_07_01ANG_00226.flac,male,male,genuine,True,True,1
trial_000011,M_42,CMPL_M_42_06ALX_00060,CMPL_M_42_06ALX_00060.flac,M_05,CMPL_M_05_05ANG_00229,CMPL_M_05_05ANG_00229.flac,male,male,impostor,False,True,0
trial_000012,M_01,CMPL_M_01_13ANG_01532,CMPL_M_01_13ANG_01532.flac,M_01,CMPL_M_01_04ANG_00771,CMPL_M_01_04ANG_00771.flac,male,male,genuine,True,True,1
trial_000013,M_20,CMPL_M_20_08ALX_00016,CMPL_M_20_08ALX_00016.flac,M_07,CMPL_M_07_01ANG_00046,CMPL_M_07_01ANG_00046.flac,male,male,impostor,False,True,0
trial_000014,M_06,CMPL_M_06_11ANG_00272,CMPL_M_06_11ANG_00272.flac,M_28,CMPL_M_28_12ANG_00077,CMPL_M_28_12ANG_00077.flac,male,male,impostor,False,True,0
trial_000015,M_22,CMPL_M_22_15ALX_00121,CMPL_M_22_15ALX_00121.flac,M_09,CMPL_M_09_09MAB_00443,CMPL_M_09_09MAB_00443.flac,male,male,impostor,False,True,0
trial_000016,M_27,CMPL_M_27_05MAB_00052,CMPL_M_27_05MAB_00052.flac,M_04,CMPL_M_04_02ANG_00179,CMPL_M_04_02ANG_00179.flac,male,male,impostor,False,True,0
trial_000017,M_10,CMPL_M_10_09ANG_00243,CMPL_M_10_09ANG_00243.flac,M_10,CMPL_M_10_09ANG_00099,CMPL_M_10_09ANG_00099.flac,male,male,genuine,True,True,1
trial_000018,M_15,CMPL_M_15_08ANG_00211,CMPL_M_15_08ANG_00211.flac,M_15,CMPL_M_15_08ANG_00198,CMPL_M_15_08ANG_00198.flac,male,male,genuine,True,True,1
trial_000019,M_01,CMPL_M_01_13ANG_01532,CMPL_M_01_13ANG_01532.flac,M_01,CMPL_M_01_04ANG_00589,CMPL_M_01_04ANG_00589.flac,male,male,genuine,True,True,1
trial_000020,M_14,CMPL_M_14_06ANG_00222,CMPL_M_14_06ANG_00222.flac,M_11,CMPL_M_11_07ANG_00136,CMPL_M_11_07ANG_00136.flac,male,male,impostor,False,True,0
trial_000021,M_11,CMPL_M_11_07ANG_00036,CMPL_M_11_07ANG_00036.flac,M_11,CMPL_M_11_07ANG_00042,CMPL_M_11_07ANG_00042.flac,male,male,genuine,True,True,1
trial_000022,M_46,CMPL_M_46_04MAB_00011,CMPL_M_46_04MAB_00011.flac,M_13,CMPL_M_13_12MAB_00096,CMPL_M_13_12MAB_00096.flac,male,male,impostor,False,True,0
trial_000023,M_15,CMPL_M_15_08ANG_00211,CMPL_M_15_08ANG_00211.flac,M_15,CMPL_M_15_08ANG_00087,CMPL_M_15_08ANG_00087.flac,male,male,genuine,True,True,1
trial_000024,M_19,CMPL_M_19_11ALX_00110,CMPL_M_19_11ALX_00110.flac,M_19,CMPL_M_19_11ALX_00123,CMPL_M_19_11ALX_00123.flac,male,male,genuine,True,True,1
trial_000025,M_32,CMPL_M_32_03MAB_00021,CMPL_M_32_03MAB_00021.flac,M_32,CMPL_M_32_03MAB_00071,CMPL_M_32_03MAB_00071.flac,male,male,genuine,True,True,1
trial_000026,M_18,CMPL_M_18_05ALX_00058,CMPL_M_18_05ALX_00058.flac,M_18,CMPL_M_18_05ALX_00044,CMPL_M_18_05ALX_00044.flac,male,male,genuine,True,True,1
trial_000027,M_41,CMPL_M_41_14MAB_00025,CMPL_M_41_14MAB_00025.flac,M_28,CMPL_M_28_12ANG_00107,CMPL_M_28_12ANG_00107.flac,male,male,impostor,False,True,0
trial_000028,F_13,CMPL_F_13_11ANG_00086,CMPL_F_13_11ANG_00086.flac,F_22,CMPL_F_22_06ALX_00002,CMPL_F_22_06ALX_00002.flac,female,female,impostor,False,True,0
trial_000029,M_07,CMPL_M_07_01MAB_00315,CMPL_M_07_01MAB_00315.flac,M_07,CMPL_M_07_01ANG_00024,CMPL_M_07_01ANG_00024.flac,male,male,genuine,True,True,1
trial_000030,F_03,CMPL_F_03_09MAB_00142,CMPL_F_03_09MAB_00142.flac,F_03,CMPL_F_03_09MAB_00339,CMPL_F_03_09MAB_00339.flac,female,female,genuine,True,True,1
trial_000031,M_25,CMPL_M_25_06ANG_00125,CMPL_M_25_06ANG_00125.flac,M_29,CMPL_M_29_12ALX_00104,CMPL_M_29_12ALX_00104.flac,male,male,impostor,False,True,0
trial_000032,F_16,CMPL_F_16_03MAB_00082,CMPL_F_16_03MAB_00082.flac,F_26,CMPL_F_26_14MAB_00021,CMPL_F_26_14MAB_00021.flac,female,female,impostor,False,True,0
trial_000033,M_16,CMPL_M_16_03ALX_00105,CMPL_M_16_03ALX_00105.flac,M_16,CMPL_M_16_03ALX_00094,CMPL_M_16_03ALX_00094.flac,male,male,genuine,True,True,1
trial_000034,M_16,CMPL_M_16_03ALX_00105,CMPL_M_16_03ALX_00105.flac,M_16,CMPL_M_16_03ALX_00152,CMPL_M_16_03ALX_00152.flac,male,male,genuine,True,True,1
trial_000035,M_51,CMPL_M_51_14ALX_00006,CMPL_M_51_14ALX_00006.flac,M_01,CMPL_M_01_04ANG_00492,CMPL_M_01_04ANG_00492.flac,male,male,impostor,False,True,0
trial_000036,F_03,CMPL_F_03_09MAB_00142,CMPL_F_03_09MAB_00142.flac,F_03,CMPL_F_03_09MAB_00025,CMPL_F_03_09MAB_00025.flac,female,female,genuine,True,True,1
trial_000037,F_21,CMPL_F_21_13ANG_00011,CMPL_F_21_13ANG_00011.flac,F_03,CMPL_F_03_09MAB_00247,CMPL_F_03_09MAB_00247.flac,female,female,impostor,False,True,0
trial_000038,M_23,CMPL_M_23_01ALX_00103,CMPL_M_23_01ALX_00103.flac,M_23,CMPL_M_23_01ALX_00119,CMPL_M_23_01ALX_00119.flac,male,male,genuine,True,True,1
trial_000039,F_07,CMPL_F_07_04ALX_00020,CMPL_F_07_04ALX_00020.flac,F_07,CMPL_F_07_04ALX_00010,CMPL_F_07_04ALX_00010.flac,female,female,genuine,True,True,1
trial_000040,M_02,CMPL_M_02_03ANG_00022,CMPL_M_02_03ANG_00022.flac,M_02,CMPL_M_02_04ANG_00340,CMPL_M_02_04ANG_00340.flac,male,male,genuine,True,True,1
trial_000041,M_13,CMPL_M_13_12MAB_00080,CMPL_M_13_12MAB_00080.flac,M_28,CMPL_M_28_12ANG_00084,CMPL_M_28_12ANG_00084.flac,male,male,impostor,False,True,0
trial_000042,F_06,CMPL_F_06_13MAB_00049,CMPL_F_06_13MAB_00049.flac,F_06,CMPL_F_06_13MAB_00073,CMPL_F_06_13MAB_00073.flac,female,female,genuine,True,True,1
trial_000043,M_30,CMPL_M_30_10ALX_00103,CMPL_M_30_10ALX_00103.flac,M_30,CMPL_M_30_08ANG_00065,CMPL_M_30_08ANG_00065.flac,male,male,genuine,True,True,1
trial_000044,M_30,CMPL_M_30_10ALX_00103,CMPL_M_30_10ALX_00103.flac,M_07,CMPL_M_07_07MAB_00406,CMPL_M_07_07MAB_00406.flac,male,male,impostor,False,True,0
trial_000045,M_03,CMPL_M_03_08MAB_00709,CMPL_M_03_08MAB_00709.flac,M_03,CMPL_M_03_07MAB_00533,CMPL_M_03_07MAB_00533.flac,male,male,genuine,True,True,1
trial_000046,M_01,CMPL_M_01_13ANG_01532,CMPL_M_01_13ANG_01532.flac,M_01,CMPL_M_01_04ANG_00805,CMPL_M_01_04ANG_00805.flac,male,male,genuine,True,True,1
trial_000047,F_02,CMPL_F_02_02MAB_00241,CMPL_F_02_02MAB_00241.flac,F_27,CMPL_F_27_03ANG_00014,CMPL_F_27_03ANG_00014.flac,female,female,impostor,False,True,0
trial_000048,F_13,CMPL_F_13_11ANG_00086,CMPL_F_13_11ANG_00086.flac,F_19,CMPL_F_19_08CAR_00071,CMPL_F_19_08CAR_00071.flac,female,female,impostor,False,True,0
trial_000049,M_01,CMPL_M_01_13ANG_01532,CMPL_M_01_13ANG_01532.flac,M_01,CMPL_M_01_14ALX_01696,CMPL_M_01_14ALX_01696.flac,male,male,genuine,True,True,1
trial_000050,F_01,CMPL_F_01_12MAB_00651,CMPL_F_01_12MAB_00651.flac,F_01,CMPL_F_01_13ALX_00745,CMPL_F_01_13ALX_00745.flac,female,female,genuine,True,True,1
trial_000051,F_02,CMPL_F_02_02MAB_00241,CMPL_F_02_02MAB_00241.flac,F_02,CMPL_F_02_02MAB_00336,CMPL_F_02_02MAB_00336.flac,female,female,genuine,True,True,1
trial_000052,F_04,CMPL_F_04_12ANG_00215,CMPL_F_04_12ANG_00215.flac,F_04,CMPL_F_04_12ANG_00255,CMPL_F_04_12ANG_00255.flac,female,female,genuine,True,True,1
trial_000053,F_20,CMPL_F_20_05CAR_00066,CMPL_F_20_05CAR_00066.flac,F_02,CMPL_F_02_02MAB_00267,CMPL_F_02_02MAB_00267.flac,female,female,impostor,False,True,0
trial_000054,M_48,CMPL_M_48_05ANG_00003,CMPL_M_48_05ANG_00003.flac,M_48,CMPL_M_48_07ALX_00024,CMPL_M_48_07ALX_00024.flac,male,male,genuine,True,True,1
trial_000055,F_18,CMPL_F_18_06MAB_00027,CMPL_F_18_06MAB_00027.flac,F_18,CMPL_F_18_06MAB_00045,CMPL_F_18_06MAB_00045.flac,female,female,genuine,True,True,1
trial_000056,M_52,CMPL_M_52_13ALX_00005,CMPL_M_52_13ALX_00005.flac,M_01,CMPL_M_01_13ANG_01475,CMPL_M_01_13ANG_01475.flac,male,male,impostor,False,True,0
trial_000057,M_05,CMPL_M_05_05ANG_00380,CMPL_M_05_05ANG_00380.flac,M_05,CMPL_M_05_05ANG_00448,CMPL_M_05_05ANG_00448.flac,male,male,genuine,True,True,1
trial_000058,F_04,CMPL_F_04_12ANG_00215,CMPL_F_04_12ANG_00215.flac,F_04,CMPL_F_04_12ANG_00156,CMPL_F_04_12ANG_00156.flac,female,female,genuine,True,True,1
trial_000059,M_24,CMPL_M_24_07ANG_00018,CMPL_M_24_07ANG_00018.flac,M_06,CMPL_M_06_11ANG_00010,CMPL_M_06_11ANG_00010.flac,male,male,impostor,False,True,0
trial_000060,M_31,CMPL_M_31_11MAB_00120,CMPL_M_31_11MAB_00120.flac,M_31,CMPL_M_31_11MAB_00122,CMPL_M_31_11MAB_00122.flac,male,male,genuine,True,True,1
trial_000061,M_22,CMPL_M_22_15ALX_00121,CMPL_M_22_15ALX_00121.flac,M_12,CMPL_M_12_10ALX_00243,CMPL_M_12_10ALX_00243.flac,male,male,impostor,False,True,0
trial_000062,M_16,CMPL_M_16_03ALX_00105,CMPL_M_16_03ALX_00105.flac,M_04,CMPL_M_04_02ANG_00431,CMPL_M_04_02ANG_00431.flac,male,male,impostor,False,True,0
trial_000063,F_10,CMPL_F_10_13ALX_00070,CMPL_F_10_13ALX_00070.flac,F_10,CMPL_F_10_13ALX_00037,CMPL_F_10_13ALX_00037.flac,female,female,genuine,True,True,1
trial_000064,M_17,CMPL_M_17_07ANG_00057,CMPL_M_17_07ANG_00057.flac,M_17,CMPL_M_17_10MAB_00212,CMPL_M_17_10MAB_00212.flac,male,male,genuine,True,True,1
trial_000065,M_33,CMPL_M_33_09ANG_00068,CMPL_M_33_09ANG_00068.flac,M_04,CMPL_M_04_02ANG_00405,CMPL_M_04_02ANG_00405.flac,male,male,impostor,False,True,0
trial_000066,F_04,CMPL_F_04_12ANG_00215,CMPL_F_04_12ANG_00215.flac,F_07,CMPL_F_07_04ALX_00062,CMPL_F_07_04ALX_00062.flac,female,female,impostor,False,True,0
trial_000067,M_51,CMPL_M_51_14ALX_00006,CMPL_M_51_14ALX_00006.flac,M_12,CMPL_M_12_08ANG_00165,CMPL_M_12_08ANG_00165.flac,male,male,impostor,False,True,0
trial_000068,M_28,CMPL_M_28_12ANG_00055,CMPL_M_28_12ANG_00055.flac,M_28,CMPL_M_28_12ANG_00127,CMPL_M_28_12ANG_00127.flac,male,male,genuine,True,True,1
trial_000069,M_04,CMPL_M_04_02ANG_00433,CMPL_M_04_02ANG_00433.flac,M_40,CMPL_M_40_08ANG_00043,CMPL_M_40_08ANG_00043.flac,male,male,impostor,False,True,0
trial_000070,M_31,CMPL_M_31_11MAB_00120,CMPL_M_31_11MAB_00120.flac,M_31,CMPL_M_31_11MAB_00106,CMPL_M_31_11MAB_00106.flac,male,male,genuine,True,True,1
trial_000071,M_41,CMPL_M_41_14MAB_00025,CMPL_M_41_14MAB_00025.flac,M_14,CMPL_M_14_06ANG_00040,CMPL_M_14_06ANG_00040.flac,male,male,impostor,False,True,0
trial_000072,F_19,CMPL_F_19_08CAR_00045,CMPL_F_19_08CAR_00045.flac,F_19,CMPL_F_19_08CAR_00051,CMPL_F_19_08CAR_00051.flac,female,female,genuine,True,True,1
trial_000073,M_05,CMPL_M_05_05ANG_00380,CMPL_M_05_05ANG_00380.flac,M_05,CMPL_M_05_05ANG_00474,CMPL_M_05_05ANG_00474.flac,male,male,genuine,True,True,1
trial_000074,M_40,CMPL_M_40_08ANG_00008,CMPL_M_40_08ANG_00008.flac,M_22,CMPL_M_22_15ALX_00108,CMPL_M_22_15ALX_00108.flac,male,male,impostor,False,True,0
trial_000075,M_43,CMPL_M_43_14MAB_00025,CMPL_M_43_14MAB_00025.flac,M_43,CMPL_M_43_14MAB_00055,CMPL_M_43_14MAB_00055.flac,male,male,genuine,True,True,1
trial_000076,M_22,CMPL_M_22_15ALX_00121,CMPL_M_22_15ALX_00121.flac,M_17,CMPL_M_17_10MAB_00081,CMPL_M_17_10MAB_00081.flac,male,male,impostor,False,True,0
trial_000077,M_46,CMPL_M_46_04MAB_00011,CMPL_M_46_04MAB_00011.flac,M_46,CMPL_M_46_04MAB_00010,CMPL_M_46_04MAB_00010.flac,male,male,genuine,True,True,1
trial_000078,F_08,CMPL_F_08_10MAB_00093,CMPL_F_08_10MAB_00093.flac,F_03,CMPL_F_03_09MAB_00232,CMPL_F_03_09MAB_00232.flac,female,female,impostor,False,True,0
trial_000079,M_47,CMPL_M_47_03ALX_00029,CMPL_M_47_03ALX_00029.flac,M_15,CMPL_M_15_08ANG_00098,CMPL_M_15_08ANG_00098.flac,male,male,impostor,False,True,0
trial_000080,M_27,CMPL_M_27_05MAB_00052,CMPL_M_27_05MAB_00052.flac,M_16,CMPL_M_16_03ALX_00102,CMPL_M_16_03ALX_00102.flac,male,male,impostor,False,True,0
trial_000081,M_06,CMPL_M_06_11ANG_00272,CMPL_M_06_11ANG_00272.flac,M_06,CMPL_M_06_11ANG_00017,CMPL_M_06_11ANG_00017.flac,male,male,genuine,True,True,1
trial_000082,F_05,CMPL_F_05_01CAR_00021,CMPL_F_05_01CAR_00021.flac,F_05,CMPL_F_05_01CAR_00040,CMPL_F_05_01CAR_00040.flac,female,female,genuine,True,True,1
trial_000083,F_26,CMPL_F_26_14MAB_00029,CMPL_F_26_14MAB_00029.flac,F_01,CMPL_F_01_13ALX_00786,CMPL_F_01_13ALX_00786.flac,female,female,impostor,False,True,0
trial_000084,M_44,CMPL_M_44_14MAB_00035,CMPL_M_44_14MAB_00035.flac,M_18,CMPL_M_18_05ALX_00100,CMPL_M_18_05ALX_00100.flac,male,male,impostor,False,True,0
trial_000085,M_11,CMPL_M_11_07ANG_00036,CMPL_M_11_07ANG_00036.flac,M_04,CMPL_M_04_02ALX_00042,CMPL_M_04_02ALX_00042.flac,male,male,impostor,False,True,0
trial_000086,M_33,CMPL_M_33_09ANG_00068,CMPL_M_33_09ANG_00068.flac,M_03,CMPL_M_03_01ANG_00127,CMPL_M_03_01ANG_00127.flac,male,male,impostor,False,True,0
trial_000087,M_32,CMPL_M_32_03MAB_00021,CMPL_M_32_03MAB_00021.flac,M_13,CMPL_M_13_12MAB_00280,CMPL_M_13_12MAB_00280.flac,male,male,impostor,False,True,0
trial_000088,M_11,CMPL_M_11_07ANG_00036,CMPL_M_11_07ANG_00036.flac,M_02,CMPL_M_02_10ANG_00630,CMPL_M_02_10ANG_00630.flac,male,male,impostor,False,True,0
trial_000089,M_06,CMPL_M_06_11ANG_00272,CMPL_M_06_11ANG_00272.flac,M_06,CMPL_M_06_11ANG_00383,CMPL_M_06_11ANG_00383.flac,male,male,genuine,True,True,1
trial_000090,F_33,CMPL_F_33_06ANG_00018,CMPL_F_33_06ANG_00018.flac,F_07,CMPL_F_07_04ALX_00002,CMPL_F_07_04ALX_00002.flac,female,female,impostor,False,True,0
trial_000091,M_03,CMPL_M_03_08MAB_00709,CMPL_M_03_08MAB_00709.flac,M_03,CMPL_M_03_07MAB_00555,CMPL_M_03_07MAB_00555.flac,male,male,genuine,True,True,1
trial_000092,M_26,CMPL_M_26_03ALX_00015,CMPL_M_26_03ALX_00015.flac,M_18,CMPL_M_18_05ALX_00132,CMPL_M_18_05ALX_00132.flac,male,male,impostor,False,True,0
trial_000093,M_03,CMPL_M_03_08MAB_00709,CMPL_M_03_08MAB_00709.flac,M_03,CMPL_M_03_01ANG_00075,CMPL_M_03_01ANG_00075.flac,male,male,genuine,True,True,1
trial_000094,M_13,CMPL_M_13_12MAB_00080,CMPL_M_13_12MAB_00080.flac,M_13,CMPL_M_13_12MAB_00062,CMPL_M_13_12MAB_00062.flac,male,male,genuine,True,True,1
trial_000095,F_11,CMPL_F_11_06ANG_00030,CMPL_F_11_06ANG_00030.flac,F_02,CMPL_F_02_02MAB_00037,CMPL_F_02_02MAB_00037.flac,female,female,impostor,False,True,0
trial_000096,F_01,CMPL_F_01_12MAB_00651,CMPL_F_01_12MAB_00651.flac,F_01,CMPL_F_01_14ANG_00898,CMPL_F_01_14ANG_00898.flac,female,female,genuine,True,True,1
trial_000097,M_19,CMPL_M_19_11ALX_00110,CMPL_M_19_11ALX_00110.flac,M_19,CMPL_M_19_11ALX_00071,CMPL_M_19_11ALX_00071.flac,male,male,genuine,True,True,1
trial_000098,M_28,CMPL_M_28_12ANG_00055,CMPL_M_28_12ANG_00055.flac,M_28,CMPL_M_28_12ANG_00026,CMPL_M_28_12ANG_00026.flac,male,male,genuine,True,True,1
trial_000099,M_18,CMPL_M_18_05ALX_00058,CMPL_M_18_05ALX_00058.flac,M_03,CMPL_M_03_01MAB_00349,CMPL_M_03_01MAB_00349.flac,male,male,impostor,False,True,0
trial_000100,M_03,CMPL_M_03_08MAB_00709,CMPL_M_03_08MAB_00709.flac,M_03,CMPL_M_03_01ANG_00301,CMPL_M_03_01ANG_00301.flac,male,male,genuine,True,True,1
trial_000101,M_34,CMPL_M_34_09ALX_00048,CMPL_M_34_09ALX_00048.flac,M_11,CMPL_M_11_07ANG_00086,CMPL_M_11_07ANG_00086.flac,male,male,impostor,False,True,0
trial_000102,M_16,CMPL_M_16_03ALX_00105,CMPL_M_16_03ALX_00105.flac,M_16,CMPL_M_16_03ALX_00029,CMPL_M_16_03ALX_00029.flac,male,male,genuine,True,True,1
trial_000103,M_35,CMPL_M_35_15ALX_00068,CMPL_M_35_15ALX_00068.flac,M_07,CMPL_M_07_07MAB_00423,CMPL_M_07_07MAB_00423.flac,male,male,impostor,False,True,0
trial_000104,M_51,CMPL_M_51_14ALX_00006,CMPL_M_51_14ALX_00006.flac,M_41,CMPL_M_41_14MAB_00045,CMPL_M_41_14MAB_00045.flac,male,male,impostor,False,True,0
trial_000105,F_21,CMPL_F_21_13ANG_00011,CMPL_F_21_13ANG_00011.flac,F_03,CMPL_F_03_09MAB_00074,CMPL_F_03_09MAB_00074.flac,female,female,impostor,False,True,0
trial_000106,M_13,CMPL_M_13_12MAB_00080,CMPL_M_13_12MAB_00080.flac,M_13,CMPL_M_13_12MAB_00140,CMPL_M_13_12MAB_00140.flac,male,male,genuine,True,True,1
trial_000107,M_09,CMPL_M_09_09ALX_00358,CMPL_M_09_09ALX_00358.flac,M_09,CMPL_M_09_08MAB_00284,CMPL_M_09_08MAB_00284.flac,male,male,genuine,True,True,1
trial_000108,M_02,CMPL_M_02_03ANG_00022,CMPL_M_02_03ANG_00022.flac,M_02,CMPL_M_02_03ANG_00079,CMPL_M_02_03ANG_00079.flac,male,male,genuine,True,True,1
trial_000109,M_47,CMPL_M_47_03ALX_00029,CMPL_M_47_03ALX_00029.flac,M_04,CMPL_M_04_02ALX_00047,CMPL_M_04_02ALX_00047.flac,male,male,impostor,False,True,0
trial_000110,M_53,CMPL_M_53_05MAB_00004,CMPL_M_53_05MAB_00004.flac,M_05,CMPL_M_05_05ANG_00087,CMPL_M_05_05ANG_00087.flac,male,male,impostor,False,True,0
trial_000111,M_23,CMPL_M_23_01ALX_00103,CMPL_M_23_01ALX_00103.flac,M_08,CMPL_M_08_14ANG_00029,CMPL_M_08_14ANG_00029.flac,male,male,impostor,False,True,0
trial_000112,M_14,CMPL_M_14_06ANG_00222,CMPL_M_14_06ANG_00222.flac,M_14,CMPL_M_14_06ANG_00095,CMPL_M_14_06ANG_00095.flac,male,male,genuine,True,True,1
trial_000113,M_28,CMPL_M_28_12ANG_00055,CMPL_M_28_12ANG_00055.flac,M_28,CMPL_M_28_12ANG_00129,CMPL_M_28_12ANG_00129.flac,male,male,genuine,True,True,1
trial_000114,F_16,CMPL_F_16_03MAB_00082,CMPL_F_16_03MAB_00082.flac,F_09,CMPL_F_09_06ANG_00057,CMPL_F_09_06ANG_00057.flac,female,female,impostor,False,True,0
trial_000115,M_48,CMPL_M_48_05ANG_00003,CMPL_M_48_05ANG_00003.flac,M_01,CMPL_M_01_13ANG_01520,CMPL_M_01_13ANG_01520.flac,male,male,impostor,False,True,0
trial_000116,M_07,CMPL_M_07_01MAB_00315,CMPL_M_07_01MAB_00315.flac,M_07,CMPL_M_07_07MAB_00405,CMPL_M_07_07MAB_00405.flac,male,male,genuine,True,True,1
trial_000117,M_12,CMPL_M_12_08ANG_00113,CMPL_M_12_08ANG_00113.flac,M_12,CMPL_M_12_10ALX_00244,CMPL_M_12_10ALX_00244.flac,male,male,genuine,True,True,1
trial_000118,F_06,CMPL_F_06_13MAB_00049,CMPL_F_06_13MAB_00049.flac,F_12,CMPL_F_12_06CAR_00076,CMPL_F_12_06CAR_00076.flac,female,female,impostor,False,True,0
trial_000119,M_13,CMPL_M_13_12MAB_00080,CMPL_M_13_12MAB_00080.flac,M_13,CMPL_M_13_12MAB_00076,CMPL_M_13_12MAB_00076.flac,male,male,genuine,True,True,1
trial_000120,M_02,CMPL_M_02_03ANG_00022,CMPL_M_02_03ANG_00022.flac,M_02,CMPL_M_02_04ANG_00319,CMPL_M_02_04ANG_00319.flac,male,male,genuine,True,True,1
trial_000121,F_12,CMPL_F_12_06CAR_00056,CMPL_F_12_06CAR_00056.flac,F_12,CMPL_F_12_06CAR_00091,CMPL_F_12_06CAR_00091.flac,female,female,genuine,True,True,1
trial_000122,M_48,CMPL_M_48_05ANG_00003,CMPL_M_48_05ANG_00003.flac,M_48,CMPL_M_48_07ALX_00023,CMPL_M_48_07ALX_00023.flac,male,male,genuine,True,True,1
trial_000123,F_20,CMPL_F_20_05CAR_00066,CMPL_F_20_05CAR_00066.flac,F_03,CMPL_F_03_09MAB_00216,CMPL_F_03_09MAB_00216.flac,female,female,impostor,False,True,0
trial_000124,M_15,CMPL_M_15_08ANG_00211,CMPL_M_15_08ANG_00211.flac,M_15,CMPL_M_15_08ANG_00056,CMPL_M_15_08ANG_00056.flac,male,male,genuine,True,True,1
trial_000125,M_35,CMPL_M_35_15ALX_00068,CMPL_M_35_15ALX_00068.flac,M_14,CMPL_M_14_06ANG_00089,CMPL_M_14_06ANG_00089.flac,male,male,impostor,False,True,0
trial_000126,F_08,CMPL_F_08_10MAB_00093,CMPL_F_08_10MAB_00093.flac,F_01,CMPL_F_01_12MAB_00652,CMPL_F_01_12MAB_00652.flac,female,female,impostor,False,True,0
trial_000127,F_18,CMPL_F_18_06MAB_00027,CMPL_F_18_06MAB_00027.flac,F_01,CMPL_F_01_08ANG_00204,CMPL_F_01_08ANG_00204.flac,female,female,impostor,False,True,0
trial_000128,M_25,CMPL_M_25_06ANG_00125,CMPL_M_25_06ANG_00125.flac,M_01,CMPL_M_01_14ALX_01660,CMPL_M_01_14ALX_01660.flac,male,male,impostor,False,True,0
trial_000129,M_04,CMPL_M_04_02ANG_00433,CMPL_M_04_02ANG_00433.flac,M_32,CMPL_M_32_03MAB_00032,CMPL_M_32_03MAB_00032.flac,male,male,impostor,False,True,0
trial_000130,F_03,CMPL_F_03_09MAB_00142,CMPL_F_03_09MAB_00142.flac,F_03,CMPL_F_03_09MAB_00204,CMPL_F_03_09MAB_00204.flac,female,female,genuine,True,True,1
trial_000131,F_32,CMPL_F_32_11ANG_00011,CMPL_F_32_11ANG_00011.flac,F_18,CMPL_F_18_06MAB_00073,CMPL_F_18_06MAB_00073.flac,female,female,impostor,False,True,0
trial_000132,M_01,CMPL_M_01_13ANG_01532,CMPL_M_01_13ANG_01532.flac,M_01,CMPL_M_01_10ANG_00999,CMPL_M_01_10ANG_00999.flac,male,male,genuine,True,True,1
trial_000133,M_32,CMPL_M_32_03MAB_00021,CMPL_M_32_03MAB_00021.flac,M_32,CMPL_M_32_03MAB_00085,CMPL_M_32_03MAB_00085.flac,male,male,genuine,True,True,1
trial_000134,M_04,CMPL_M_04_02ANG_00433,CMPL_M_04_02ANG_00433.flac,M_04,CMPL_M_04_02ANG_00511,CMPL_M_04_02ANG_00511.flac,male,male,genuine,True,True,1
